"speaker","word","의미","동음이의","type","분석1","분석2","성조","지역","age","gender","N","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3","a1","a2","a3","b1","b2","b3","c1","c2","c3","d1","d2","d3"
"JBS","발","blind","1","고유어1","1","","","부산",60,"여",1,"ㅂ","ㅏ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","발","foot","1","고유어1","1","","","부산",60,"여",1,"ㅂ","ㅏ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","눈","snow","1","고유어1","1","","","부산",60,"여",1,"ㄴ","ㅜ","ㄴ"," "," ",""," "," ","","","","","공명음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","눈","eye","1","고유어1","1","","","부산",60,"여",1,"ㄴ","ㅜ","ㄴ"," "," ",""," "," ","","","","","공명음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","배","pear","1","고유어1","1","","","부산",60,"여",1,"ㅂ","ㅐ",""," "," ",""," "," ","","","","","평파열음_평파찰음","sg","개음절","","","","","","","","",""
"JBS","배","stomach","1","고유어1","1","","","부산",60,"여",1,"ㅂ","ㅐ",""," "," ",""," "," ","","","","","평파열음_평파찰음","sg","개음절","","","","","","","","",""
"JBS","배","boat","1","고유어1","1","","","부산",60,"여",1,"ㅂ","ㅐ",""," "," ",""," "," ","","","","","평파열음_평파찰음","sg","개음절","","","","","","","","",""
"JBS","감","느낌","1","고유어1","","","","부산",60,"여",1,"ㄱ","ㅏ","ㅁ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","감","persimon","1","고유어1","1","","","부산",60,"여",1,"ㄱ","ㅏ","ㅁ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","담","질병","1","고유어1","","","","부산",60,"여",1,"ㄷ","ㅏ","ㅁ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","담","담장","1","고유어1","1","","","부산",60,"여",1,"ㄷ","ㅏ","ㅁ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","밤","chestnut","1","고유어1","1","","","부산",60,"여",1,"ㅂ","ㅏ","ㅁ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","밤","야간","1","고유어1","1","","","부산",60,"여",1,"ㅂ","ㅏ","ㅁ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","벌","곤충","1","고유어1","1","","","부산",60,"여",1,"ㅂ","ㅓ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","벌","죄","1","고유어1","1","","","부산",60,"여",1,"ㅂ","ㅓ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","애","아이","1","고유어1","1","","","부산",60,"여",1,"ㅇ","ㅐ",""," "," ",""," "," ","","","","","공명음","sg","개음절","","","","","","","","",""
"JBS","애","가 탄다","1","고유어1","1","","","부산",60,"여",1,"ㅇ","ㅐ",""," "," ",""," "," ","","","","","공명음","sg","개음절","","","","","","","","",""
"JBS","이사","moving","1","고유어2","","","","부산",60,"여",2,"ㅇ","ㅣ","","ㅅ","ㅏ",""," "," ","","","","","공명음","","개음절","마찰음","sg","개음절","","","","","",""
"JBS","이사","director","1","고유어2","","","","부산",60,"여",2,"ㅇ","ㅣ","","ㅅ","ㅏ",""," "," ","","","","","공명음","","개음절","마찰음","sg","개음절","","","","","",""
"JBS","고전","struggle","1","고유어2","","","","부산",60,"여",2,"ㄱ","ㅗ","","ㅈ","ㅓ","ㄴ"," "," ","","","","","평파열음_평파찰음","sg","개음절","평파열음_평파찰음","sg","폐음절_공명자음","","","","","",""
